ticker,buy_in_price,full_name,number_purchased,portf_weight,div_value,div_date
AMD,65.008999,AMD,219,0.14237024599088999,.0000,
CADUSD,.737735,CAD/USD Forex,19408,0.14318015004244,.0000,
CL,78.959999,Colagate-Palmolive Company,180,0.14212853546717999,.0206,2023-07-19 00:00:00
HSY,228.684998,The Hershy Company,62,0.14178523472946,.0298,2023-06-16 00:00:00
IJH,48.431000,iShares Core S&P Mid-Cap ETF,301,0.14577786106217999,.0000,
NDX,12075.973145,NASDAQ 100,0,0,.0000,
PG,151.260002,The Procter & Gamble Company,94,0.1421849393604,.0244,2023-04-18 00:00:00
PORTF,99999.621985,Portfolio,1,1,.0000,
USPH,81.469997,U.S. Physical Therapy Inc.,175,0.14257303369745,.0191,2023-06-22 00:00:00
